JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ, IGNORAR1, IGNORAR2, IGNORAR3, IGNORAR 4, IGNORAR 5, IGNORAR 6,            
2460809.500000000, A.D. 2025-May-14 00:00:00.0000, -6.066011663945662E-01, -8.082238862853377E-01,  5.416377251271335E-05,  1.347469021470040E-02, -1.038910724328660E-02,  7.179584076751567E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460810.500000000, A.D. 2025-May-15 00:00:00.0000, -5.930404077140790E-01, -8.184973580347867E-01,  5.480936061788432E-05,  1.364621058194270E-02, -1.015738845377885E-02,  5.719905028740697E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460811.500000000, A.D. 2025-May-16 00:00:00.0000, -5.793099813635559E-01, -8.285377693220315E-01,  5.530621274384058E-05,  1.381402227704165E-02, -9.922987859301237E-03,  4.214163040179899E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460812.500000000, A.D. 2025-May-17 00:00:00.0000, -5.654136072832838E-01, -8.383424420380090E-01,  5.565258803993860E-05,  1.397810128238474E-02, -9.685911950357335E-03,  2.720397415545396E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460813.500000000, A.D. 2025-May-18 00:00:00.0000, -5.513550341224782E-01, -8.479087019795886E-01,  5.585275446856588E-05,  1.413841393735362E-02, -9.446162168188903E-03,  1.300600955796868E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460814.500000000, A.D. 2025-May-19 00:00:00.0000, -5.371380497478030E-01, -8.572338741756655E-01,  5.591733876349425E-05,  1.429491511037836E-02, -9.203735682733269E-03,  1.977948892424168E-09,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460815.500000000, A.D. 2025-May-20 00:00:00.0000, -5.227664939271492E-01, -8.663152791513126E-01,  5.586356516337686E-05,  1.444754562607427E-02, -8.958626583282996E-03, -1.055417997253107E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460816.500000000, A.D. 2025-May-21 00:00:00.0000, -5.082442740356653E-01, -8.751502308907205E-01,  5.571530841063381E-05,  1.459622880462521E-02, -8.710828246748153E-03, -1.859185578929883E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460817.500000000, A.D. 2025-May-22 00:00:00.0000, -4.935753845224439E-01, -8.837360382089912E-01,  5.550280371056465E-05,  1.474086654316646E-02, -8.460337984646961E-03, -2.331096629203492E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460818.500000000, A.D. 2025-May-23 00:00:00.0000, -4.787639299854228E-01, -8.920700123678182E-01,  5.526176504328779E-05,  1.488133635190002E-02, -8.207165016203385E-03, -2.423487045387323E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460819.500000000, A.D. 2025-May-24 00:00:00.0000, -4.638141497088108E-01, -9.001494844533855E-01,  5.503162107318008E-05,  1.501749189647014E-02, -7.951341905209667E-03, -2.111571979774257E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460820.500000000, A.D. 2025-May-25 00:00:00.0000, -4.487304386205576E-01, -9.079718352308608E-01,  5.485267588518730E-05,  1.514917007918066E-02, -7.692937530175758E-03, -1.404306062396702E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460821.500000000, A.D. 2025-May-26 00:00:00.0000, -4.335173570982763E-01, -9.155345369234692E-01,  5.476231455466122E-05,  1.527620627474046E-02, -7.432067014318959E-03, -3.517835116039290E-08,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460822.500000000, A.D. 2025-May-27 00:00:00.0000, -4.181796221895380E-01, -9.228352009449694E-01,  5.479085286089782E-05,  1.539845548530626E-02, -7.168892803269935E-03,  9.557703654498220E-08,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460823.500000000, A.D. 2025-May-28 00:00:00.0000, -4.027220773882854E-01, -9.298716206676161E-01,  5.495802706416355E-05,  1.551581268464380E-02, -6.903613523540798E-03,  2.399784053535361E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
