"","train_loss","val_loss","train_r","train_v","train_f","val_r","val_v","val_f"
"50",2911483145.13535,3549728333.84447,1.38426721096039,1.02298438549042,8.96770311547221e+28,1.08363568782806,1.00607311725616,4.99208916690523e+28
"51",2466988364.39141,3278699380.85433,1.15369653701782,0.947565138339996,9.62837446457853e+28,1.5959187746048,0.919030368328094,4.79153545698089e+28
"52",2468258327.56535,3679588131.46988,1.46686363220215,0.962900340557098,1.2849274913426e+29,1.22946679592133,0.942580044269562,3.95936310490781e+28
"53",2167815863.68797,3476314122.72508,1.42437314987183,0.929738521575928,6.89597166076511e+28,1.36389219760895,1.12464046478271,4.70323145388106e+28
"54",3423930585.20761,4370643570.12048,1.27720808982849,0.946353256702423,1.05328908738676e+29,1.37674748897552,0.9637331366539,5.12859247574911e+28
"55",2354508657.11893,4540742867.06681,1.1101940870285,1.07476031780243,1.36375549941058e+29,1.27073991298676,0.958718001842499,3.50101895045848e+28
"56",2163430682.63528,3400977448.84995,1.36101925373077,0.949611723423004,6.52566634853759e+28,1.7090390920639,1.08571267127991,4.48609373734217e+28
"57",1929608525.36143,3302434110.57174,1.2118124961853,0.943329513072968,8.06433990807826e+28,1.58605480194092,0.933657824993134,3.99589226248108e+28
"58",2634691690.08567,3111336614.27382,1.33659756183624,1.03251659870148,7.44775137785288e+28,0.632725417613983,1.10830676555634,2.51936103184346e+28
"59",2316660157.61763,2844386510.35268,1.17725813388824,1.16735017299652,9.55600797612174e+28,1.57817780971527,0.803305327892303,2.81964946905774e+28
"60",2163187804.64103,3199679967.7897,1.26018249988556,1.03194808959961,8.83765386490047e+28,1.83730661869049,1.0383528470993,3.17073404134501e+28
"61",1812141123.02176,2833990732.9069,1.25644910335541,1.12508285045624,1.04041431074985e+29,1.2905125617981,1.02365982532501,2.88907840944386e+28
"62",1902729096.06241,3301508710.57174,1.46119582653046,0.955912530422211,1.02040243275273e+29,1.59739601612091,0.93015193939209,3.03235642524407e+28
"63",1709042172.70672,3142888430.80832,1.63647794723511,0.961086273193359,6.74052410653854e+28,1.77280426025391,1.03306245803833,2.15654610121274e+28
"64",2510134309.3472,3021406729.25301,1.4082156419754,1.09800398349762,7.26990327821482e+28,1.88558673858643,1.22020995616913,3.23489069567133e+28
"65",1738551865.40468,3539265011.908,1.19188928604126,1.06026661396027,9.35061714620899e+28,1.65936720371246,1.11801338195801,2.60732337172825e+28
"66",1783306655.96934,2698909983.52683,1.31169188022614,1.02205550670624,6.63506516271639e+28,1.43709468841553,0.899942398071289,3.68776776644345e+28
"67",2782133062.55372,3247410107.49617,1.28340649604797,0.910562515258789,6.83222679679609e+28,1.33045065402985,0.882676303386688,4.18958154048592e+28
"68",2017869974.01067,3321500347.61884,1.41471874713898,1.01866888999939,7.19361628110395e+28,1.76650273799896,1.14712941646576,1.7099997168884e+28
"69",1868502956.32572,2860006715.3034,1.73042726516724,0.932554662227631,5.62704723051232e+28,1.74011480808258,1.1530294418335,4.04140170827649e+28
"70",1431329860.88737,2591635589.69551,1.35122168064117,0.962235987186432,4.76706982070643e+28,1.79542672634125,1.04299247264862,2.59356357638879e+28
"71",1572827312.58464,3030001713.2793,1.49160766601562,0.948308289051056,7.74925558831817e+28,1.57344448566437,1.06280362606049,3.42440138769381e+28
"72",1682513552.9131,2764585612.81928,1.29799735546112,0.919185638427734,5.12231786740332e+28,1.32943272590637,1.04551255702972,2.33457105347558e+28
"73",1464510263.12741,2459696418.67251,1.29297947883606,0.942323684692383,7.12155910765179e+28,1.6859245300293,1.06844687461853,2.51540463320411e+28
"74",1864242384.62187,3699004023.58817,1.31527042388916,1.09140813350677,9.00621495861331e+28,1.60889434814453,1.0021835565567,3.36766994630682e+28
"75",1670845013.74791,3373602137.7437,1.15690696239471,0.919378519058228,6.60041527088499e+28,2.03280186653137,0.996949434280396,2.65023646043138e+28
"76",1659948583.11208,2748969574.23001,1.49677956104279,0.918093383312225,6.41269600858779e+28,1.87002277374268,0.96019458770752,2.54048535771296e+28
"77",1398604492.00602,2435421689.11281,1.19522559642792,0.979276955127716,5.38210988696208e+28,1.51533985137939,0.960313618183136,2.04533271771289e+28
"78",1474777394.97578,3369846648.04381,1.3806985616684,1.01118779182434,5.54218488810521e+28,1.87630307674408,1.03097093105316,2.8952507785553e+28
"79",1798727886.09717,2776677438.75575,1.52329635620117,1.01641845703125,6.09559287715628e+28,1.53461682796478,1.16903531551361,2.97925813651068e+28
"80",1604155468.99795,2979630905.91238,1.22368478775024,1.00686025619507,6.62693324763289e+28,1.77285063266754,1.01068723201752,3.04517646965344e+28
"81",1760901797.51143,3908321071.87733,1.38243067264557,0.859089851379395,6.02720687140789e+28,1.50921964645386,0.98664516210556,3.97354980217732e+28
"82",1467571779.67428,2493111891.04053,1.47492015361786,0.99767804145813,6.37804139438989e+28,2.01593899726868,0.898526251316071,3.55660592632833e+28
